CatID,OrgID,Type
46,100008700,Breaches
18,100008800,Breaches
18,100008900,Breaches
18,100009000,Breaches
18,100009100,Breaches
17,100009200,Breaches
24,100009300,Breaches
18,100009400,Breaches
18,100009500,Breaches
18,100009600,Breaches
17,100009700,Breaches
17,100009800,Breaches
17,100009900,Breaches
17,100010000,Breaches
17,100010100,Breaches
17,100010200,Breaches
17,100010300,Breaches
17,100010400,Breaches
17,100010500,Breaches
24,100010600,Breaches
17,100010700,Breaches
17,100010800,Breaches
17,100010900,Breaches
17,100011000,Breaches
18,100011100,Breaches
18,100011200,Breaches
18,100011300,Breaches
57,100011400,Breaches
18,100011500,Breaches
18,100011600,Breaches
18,100011700,Breaches
18,100011800,Breaches
18,100011900,Breaches
18,100012000,Breaches
18,100012100,Breaches
18,100012200,Breaches
41,100012300,Breaches
17,100012400,Breaches
51,100012500,Breaches
45,100012600,Breaches
23,100012700,Breaches
17,100012800,Breaches
45,100012900,Breaches
45,100013000,Breaches
51,100013100,Breaches
51,100013200,Breaches
23,100013300,Breaches
51,100013400,Breaches
51,100013500,Breaches
51,100013600,Breaches
23,100013700,Breaches
15,100013800,Breaches
23,100013900,Breaches
23,100014000,Breaches
50,100014100,Breaches
18,100014200,Breaches
17,100014300,Breaches
18,100014400,Breaches
18,100014500,Breaches
18,100014600,Breaches
18,100014700,Breaches
14,100014800,Breaches
14,100014900,Breaches
26,100015000,Breaches
18,100015100,Breaches
45,100015200,Breaches
18,100015300,Breaches
44,100015400,Breaches
18,100015500,Breaches
15,100015600,Breaches
17,100015700,Breaches
57,100015800,Breaches
18,100015900,Breaches
18,100016000,Breaches
18,100016100,Breaches
17,100016200,Breaches
45,100016300,Breaches
17,100016400,Breaches
18,100016500,Breaches
49,100016600,Breaches
18,100016700,Breaches
18,100016800,Breaches
17,100016900,Breaches
18,100017000,Breaches
18,100017100,Breaches
18,100017200,Breaches
18,100017300,Breaches
51,100017400,Breaches
18,100017500,Breaches
57,100017600,Breaches
51,100017700,Breaches
18,100017800,Breaches
18,100017900,Breaches
18,100018000,Breaches
18,100018100,Breaches
18,100018200,Breaches
18,100018300,Breaches
18,100018400,Breaches
46,100018500,Breaches
18,100018600,Breaches
35,100018700,Breaches
35,100018800,Breaches
17,100018900,Breaches
18,100019000,Breaches
45,100019100,Breaches
18,100019200,Breaches
19,100019300,Breaches
17,100019400,Breaches
17,100019500,Breaches
23,100019600,Breaches
18,100019700,Breaches
18,100019800,Breaches
17,100019900,Breaches
18,100020000,Breaches
18,100020100,Breaches
46,100020200,Breaches
17,100020300,Breaches
18,100020400,Breaches
18,100020500,Breaches
25,100020600,Breaches
18,100020700,Breaches
18,100020800,Breaches
17,100020900,Breaches
17,100021000,Breaches
35,100021100,Breaches
18,100021200,Breaches
18,100021300,Breaches
18,100021400,Breaches
40,100021500,Breaches
57,100021600,Breaches
17,100021700,Breaches
3,100021800,Breaches
18,100021900,Breaches
18,100022000,Breaches
3,100022100,Breaches
3,100022200,Breaches
3,100022300,Breaches
3,100022400,Breaches
3,100022500,Breaches
18,100022600,Breaches
